,x,y,price_level,category,predicted_success,distance_to_water,restaurant_density,crime_count,population,share_under_18_years_old,share_65_year_olds_and_older,share_foreigners,population_with_migration_background,share_population_with_migration_background,households,share_one_person_households,share_households_with_children,share_households_with_single_parents,population_density,employment_quote_in_%,share_unemployed_people,sum_of_incomes_per_tax_reliable_person_in_EUR,prices_for_properties,prices_for_condominiums,share_students_in_Gymnasium,car_density
529,573645.0,5940563,€,hotdogs,1.1086345860936442,127.69638,6,2905.0,34634.0,17.3,20.202691,11.4078651,10321.0,29.80622058,17660.0,47.18006795,21.3193658,26.32138114,4210.120841,60.70561222,4.879233453,31603.0,444,2701,38.08584114,383.81359360000005
382,568645.0,5932563,€,hotdogs,1.1086345860936442,88.78062,4,1398.0,9137.0,17.1,14.69847871,27.35033381,4953.0,54.20816461,5190.0,59.402697499999995,17.18689788,32.28699552,1270.641016,54.86229967,9.211140501000001,20473.0,250,3171,22.98850575,263.5438328
158,559645.0,5940563,€,hotdogs,1.1086345860936442,99.75685,14,2653.0,32403.0,16.3,22.26337068,15.93679598,11306.0,34.92956006,17297.0,49.37850494,18.86454298,26.23352743,3714.9386219999997,58.99093189,5.686860891,30938.0,455,2775,38.94472362,356.1090023
274,564645.0,5933563,€,hotdogs,1.1086345860936442,49.27068,58,4893.0,12657.0,11.4,14.26088331,21.39527534,4714.0,37.2471555,8743.0,69.43840787,11.40340844,29.08726179,5595.732556,58.35761865,5.85970025,34521.0,.    ,4265,46.564885499999995,250.2962787
275,564645.0,5934563,€,hotdogs,1.1086345860936442,200.46285,34,4893.0,12657.0,11.4,14.26088331,21.39527534,4714.0,37.2471555,8743.0,69.43840787,11.40340844,29.08726179,5595.732556,58.35761865,5.85970025,34521.0,.    ,4265,46.564885499999995,250.2962787
276,564645.0,5935563,€,hotdogs,1.1086345860936442,81.91234,23,1772.0,16456.0,13.6,15.7936315,16.82061254,4882.0,29.67781155,10668.0,64.8856393,13.37645294,22.63489839,6016.138723,50.9962169,2.90037831,68191.0,3376,6178,82.05980066,328.8162372
277,564645.0,5936563,€,hotdogs,1.1086345860936442,92.8665,12,1494.0,17822.0,15.7,20.41858377,12.78195489,4592.0,25.77169155,10812.0,59.572697,15.8527562,21.76196033,8691.435276,47.72247106,3.549395758,111088.0,3771,8101,82.17054264,384.8614072
369,567645.0,5946563,€,hotdogs,1.1086345860936442,19.15373,5,4015.0,45586.0,17.6,19.52134427,15.65831615,14120.0,31.00162473,22845.0,48.08929744,20.16633837,26.48144129,3410.3023789999997,57.12718934,5.340822227,30965.0,332,3450,41.13300493,364.84885710000003
278,564645.0,5937563,€,hotdogs,1.1086345860936442,249.97413999999998,67,671.0,9584.0,13.0,15.84933222,10.4236227,2068.0,21.6091954,6279.0,63.5132983,13.85570951,24.36781609,16947.699569999997,60.051399200000006,3.4980011419999997,52006.0,2152,5124,76.17554859,327.62938230000003
279,564645.0,5938563,€,hotdogs,1.1086345860936442,64.58398000000001,7,2103.0,24387.0,13.7,18.66158199,9.529667446,4884.0,20.03527916,15195.0,62.11911813,14.50477131,21.960072600000004,9136.26015,61.05250682,2.856465568,58438.0,2348,4999,76.76143387,328.2896625
280,564645.0,5939563,€,hotdogs,1.1086345860936442,123.76603999999999,5,2103.0,24387.0,13.7,18.66158199,9.529667446,4884.0,20.03527916,15195.0,62.11911813,14.50477131,21.960072600000004,9136.26015,61.05250682,2.856465568,58438.0,2348,4999,76.76143387,328.2896625
281,564645.0,5940563,€,hotdogs,1.1086345860936442,143.11065,5,,8459.0,17.0,21.30275446,15.21456437,2242.0,26.529404800000002,4553.0,55.282231499999995,16.88996266,24.18725618,2122.3078969999997,55.53109521,5.0632911389999995,42631.0,529,3828,56.94117647,375.8127438
156,559645.0,5938563,€,hotdogs,1.1086345860936442,154.59874,4,2653.0,32403.0,16.3,22.26337068,15.93679598,11306.0,34.92956006,17297.0,49.37850494,18.86454298,26.23352743,3714.9386219999997,58.99093189,5.686860891,30938.0,455,2775,38.94472362,356.1090023
696,579645.0,5928563,€,hotdogs,1.1086345860936442,69.96768,9,,39575.0,15.7,23.85091598,12.14150347,15284.0,38.65452706,20782.0,48.27254355,18.36204408,28.95702306,3033.740493,60.61461398,5.017094697,29127.0,388,2412,41.41755063,367.6058118
495,572645.0,5938563,€,hotdogs,1.1086345860936442,137.31378,6,4547.0,34469.0,12.1,19.09541907,15.90414575,11395.0,33.0750029,21220.0,61.20640905,12.71913289,26.56539459,5799.367421,63.36198034,4.996093589,28567.0,452,3413,43.90665514,331.3412051
528,573645.0,5939563,€,hotdogs,1.1086345860936442,269.40963999999997,4,2905.0,34634.0,17.3,20.202691,11.4078651,10321.0,29.80622058,17660.0,47.18006795,21.3193658,26.32138114,4210.120841,60.70561222,4.879233453,31603.0,444,2701,38.08584114,383.81359360000005
